timeOpen,timeClose,timeHigh,timeLow,name,open,high,low,close,volume,marketCap,timestamp
2025-07-15T00:00:00.000Z,2025-07-15T23:59:59.999Z,2025-07-15T00:29:00.000Z,2025-07-15T14:58:00.000Z,2781,119853.8485,119935.5604,115765.6867,117777.189,98321661181,2.34293E+12,2025-07-15T23:59:59.999Z
2025-07-14T00:00:00.000Z,2025-07-14T23:59:59.999Z,2025-07-14T07:40:00.000Z,2025-07-14T01:32:00.000Z,2781,119115.7875,123091.6128,118959.1968,119849.7057,1.81746E+11,2.38418E+12,2025-07-14T23:59:59.999Z
2025-07-13T00:00:00.000Z,2025-07-13T23:59:59.999Z,2025-07-13T19:33:00.000Z,2025-07-13T00:19:00.000Z,2781,117432.2008,119449.5719,117265.4379,119116.1175,49021091807,2.36944E+12,2025-07-13T23:59:59.999Z
2025-07-12T00:00:00.000Z,2025-07-12T23:59:59.999Z,2025-07-12T09:55:00.000Z,2025-07-12T15:55:00.000Z,2781,117530.7129,118219.9,116977.0237,117435.2301,45524560304,2.33591E+12,2025-07-12T23:59:59.999Z
2025-07-11T00:00:00.000Z,2025-07-11T23:59:59.999Z,2025-07-11T09:38:00.000Z,2025-07-11T00:28:00.000Z,2781,115986.2348,118856.4737,115245.6863,117516.9937,86928361085,2.33781E+12,2025-07-11T23:59:59.999Z
2025-07-10T00:00:00.000Z,2025-07-10T23:59:59.999Z,2025-07-10T21:58:00.000Z,2025-07-10T13:45:00.000Z,2781,111329.196,116608.7847,110660.7495,115987.2062,95911605728,2.30703E+12,2025-07-10T23:59:59.999Z
2025-07-09T00:00:00.000Z,2025-07-09T23:59:59.999Z,2025-07-09T19:56:00.000Z,2025-07-09T04:27:00.000Z,2781,108950.2755,111925.3769,108357.682,111326.5513,57927418065,2.21434E+12,2025-07-09T23:59:59.999Z
2025-07-08T00:00:00.000Z,2025-07-08T23:59:59.999Z,2025-07-08T13:47:00.000Z,2025-07-08T02:19:00.000Z,2781,108298.229,109198.9716,107499.5565,108950.2755,44282204127,2.16697E+12,2025-07-08T23:59:59.999Z
2025-07-07T00:00:00.000Z,2025-07-07T23:59:59.999Z,2025-07-07T03:28:00.000Z,2025-07-07T18:34:00.000Z,2781,109235.328,109710.2498,107527.0572,108299.8511,45415696597,2.15396E+12,2025-07-07T23:59:59.999Z
2025-07-06T00:00:00.000Z,2025-07-06T23:59:59.999Z,2025-07-06T21:32:00.000Z,2025-07-06T10:03:00.000Z,2781,108231.1838,109731.6259,107847.0172,109232.0697,36746020463,2.17254E+12,2025-07-06T23:59:59.999Z
2025-07-05T00:00:00.000Z,2025-07-05T23:59:59.999Z,2025-07-05T04:31:00.000Z,2025-07-05T02:34:00.000Z,2781,108015.8392,108381.3402,107842.2751,108231.182,30615537520,2.15251E+12,2025-07-05T23:59:59.999Z
2025-07-04T00:00:00.000Z,2025-07-04T23:59:59.999Z,2025-07-04T01:36:00.000Z,2025-07-04T19:32:00.000Z,2781,109635.6552,109751.9875,107296.38,108034.339,42616442656,2.14818E+12,2025-07-04T23:59:59.999Z
2025-07-03T00:00:00.000Z,2025-07-03T23:59:59.999Z,2025-07-03T13:58:00.000Z,2025-07-03T02:44:00.000Z,2781,108845.0129,110541.4616,108605.7956,109647.9788,50494742270,2.18034E+12,2025-07-03T23:59:59.999Z
2025-07-02T00:00:00.000Z,2025-07-02T23:59:59.999Z,2025-07-02T17:25:00.000Z,2025-07-02T01:18:00.000Z,2781,105703.0999,109763.6535,105157.3956,108859.3239,56248657737,2.16456E+12,2025-07-02T23:59:59.999Z
2025-07-01T00:00:00.000Z,2025-07-01T23:59:59.999Z,2025-07-01T01:25:00.000Z,2025-07-01T20:02:00.000Z,2781,107144.3826,107550.6787,105270.2266,105698.2781,44110692247,2.10203E+12,2025-07-01T23:59:59.999Z
2025-06-30T00:00:00.000Z,2025-06-30T23:59:59.999Z,2025-06-30T01:46:00.000Z,2025-06-30T15:19:00.000Z,2781,108383.4412,108798.7919,106759.6503,107135.3345,42064804590,2.13065E+12,2025-06-30T23:59:59.999Z
2025-06-29T00:00:00.000Z,2025-06-29T23:59:59.999Z,2025-06-29T12:01:00.000Z,2025-06-29T02:06:00.000Z,2781,107327.8224,108526.307,107230.1105,108385.5701,35534874438,2.15524E+12,2025-06-29T23:59:59.999Z
2025-06-28T00:00:00.000Z,2025-06-28T23:59:59.999Z,2025-06-28T17:52:00.000Z,2025-06-28T01:39:00.000Z,2781,107090.5489,107567.8816,106883.9733,107327.7032,30037708335,2.13419E+12,2025-06-28T23:59:59.999Z
2025-06-27T00:00:00.000Z,2025-06-27T23:59:59.999Z,2025-06-27T07:21:00.000Z,2025-06-27T14:36:00.000Z,2781,106954.9233,107772.4715,106449.9941,107088.4302,45353692675,2.12942E+12,2025-06-27T23:59:59.999Z
